Author(s) of Target Article	Date	Brief Description of Result	Success	Failure	Concept. Rep Attempt
Ackerman, J. M., Maner, J. K., & Carpenter, S. M.	2016	Going All In: Unfavorable Sex Ratios Attenuate Choice Diversification		1	
Bailey, J. M., Gaulin, S., Agyei, Y., & Gladue, B. A.	1994	Bailey, Gaulin, Agyei, & Gladue (1994)	1		
Balcetis, E., & Dunning, D.	2010	Wishful Seeing: More Desired Objects Are Seen as Closer		1	
Bargh, J. A., & Shalev, I.	2012	Bargh and Shalev (2012)	1	3	
Bargh, J. A., Chen, M., & Burrows, L.	1996	Elderly-Related Words Prime Slow Walking		1	
Bem, D.	2011	Bem, D. (2011)Feeling the Future: Experimental Evidence for Anomalous Retroactive Influences on Cognition and AffectJournal of Personality and Social Psychology,Vol. 100, No. 3, 407–425	1	1	
Bernard, P., Gervais, S.J., Allen, J., & Klein, O.	2013	Bernard, P., Gervais, S.J., Allen, J., & Klein, O., (2013). Response to Tarr.	1		
Bernard, P., Gervais, S.J., Allen, J., Campomizzi, S., & Klein, O.	2012	Bernard, P., Gervais, S.J., Allen, J. Campomizzi, S., & Klein, O., (2012). Integrating sexual objectification with object versus person recognition: The sexualized-body-inversion hypothesis.	1		
Boroditsky, L.	2001	Boroditsky, L. (2001). Does language shape thought?: Mandarin and English speakers' conceptions of time. Cognitive Psychology, 43, 1-22		1	
Brady, T. F., Konkle, T., & Alvarez, G. A.	2009	Memory compression in Vis. Working Memory	1		
Bry, C., Follenfant, A., & Meyer, T.	2008	Bry, C., Follenfant, A., & Meyer, T. (2008). Blond like me: When self-construals moderate stereotype priming effects on intellectual performance. Journal of Experimental Psychology.	1		
Carney, D. R., Cuddy, A. J., & Yap, A. J.	2010	Power posing: brief nonverbal displays affect neuroendocrine levels and risk tolerance		1	
Chambers, J. R., Schlenker, B. R., & Collisson, B.	2013	Chambers, J. R., Schlenker, B. R., & Collisson, B. (2013)	1		
Chang, Tzeng, Hug & Wu	2012	Chang, Tzeng, Hug & Wu (2012) Big Time Is Not Always Long : Numerical Magnitude Automatically Affects Time Reproduction		1	
Ciani, K.D. & Sheldon, K.M.	2010	A versus F: the effects of implicit letter priming on cognitive performance		1	
Correll, J.	2008, Study 2	Correll, J. (2008). 1/f noise and effort on implicit measures of bias. Journal of Personality and Social Psychology, 94, 48-59.		1	
Dijksterhuis, A., & van Knippenberg, A.	1998	Professor-stereotype primes intelligent behavior.		2	
Douglas, K.M. & Sutton, R.M.	2011	Endorsement of Conspiracy Theories			1
Duffy, S.E., & Feist, M.I.	2014	Duffy, S.E., & Feist, M.I. (2014). Individual differences in the interpretation of ambiguous statements about time. Cognitive Linguistics, 25, 29-54.		1	
Elliot, Andrew J., & Niesta, Daniela.	2008	Elliot, Andrew J., & Niesta, Daniela. (2008) Romantic Red: Red Enhances Men?s Attraction to Women. Journal of Personality and Social Psychology, 95, 1150-1164	1		
Enns, J. T., & Rensink, R. A.	1990	Enns, J. T., & Rensink, R. A. (1990). Sensitivity to three-dimensional orientation in visual search. Psychological Science, 1(5), 323-326.		1	
Epley, N., & Schroeder, J.	2014	Epley & Schroeder (2014)			1
Friedman, R. S., & Forster, J.	2002	Friedman, R. S., & Forster, J. (2002). The influence of approach and avoidance motor actions on creative cognition. Journal Of Experimental Social Psychology, 38(1), 41-55. doi:10.1006/jesp.2001.1488		1	
Gailliot, M. T., Baumeister, R. F., DeWall, C. N., et al.	2007	Gailliot et al., 2007: Self-control relies on glucose...	2	1	
Ganel, T.	2015	Ganel, T. (2015). Smiling makes you look older. Psychonomic Bulletin & Review, 22(6), 1671-1677	1	1	
Gawronski, B., & Walther, E.	2008	Gawronski, B., & Walther, E. (2008). The TAR effect: When the ones who dislike become the ones who are disliked. Personality and Social Psychology Bulletin, 34(9), 1276-128	1		
Gebauer, J., Sedikides, C., & Neberich, W.	2012	Religiosity, social self-esteem, and psychological adjustment: on the cross-cultural specificity of the psychological benefits of religiosity.			1
Gervais, W.	2014	Gervais, W. (2014) Good for God? Religious motivation reduces perceived responsibility for and morality of good deeds. Journal of Experimental Psychology: General, 143 (4), 1616?1626.	1		
Green, C. S., & Bavelier, D.	2003	Green, C. S., & Bavelier, D. (2003). Action video-game modifies visual selective attention.		1	
Greitemeyer, T., & Osswald, S.	2010	Greitemeyer, T., & Osswald, S. (2010). Effects of prosocial video games on prosocial behavior.		1	
Hafenbrack, A. C., Kinias, Z. & Barsade, S. G.	2014	Hafenbrack, A. C., Kinias, Z. & Barsade, S. G. (2014). Debiasing the Mind Through Meditation: Mindfulness and the Sunk-Cost Bias, 25(2), 369-76.	1		
Haley, K., and Fessler, D.	2005	Haley, K., and Fessler, D. (2005). Nobody's watching? Subtle cues affect generosity in an anonymous economic game. Evolution and Human Behavior, 26, 245-256.			1
Helzer, E. G., & Pizarro, D. A.	2010	Helzer, E. G., & Pizarro, D. A. (2010). Dirty liberals! Reminders of physical cleanliness influence moral and political attitudes. Psychological Science, 22, 517-522.		2	
Hesslinger, V. M., Goldbach, L., & Carbon, C.-C.	2015	Claus- Christian Carbon, Lisa Goldbach, Vera M. Hesslinger (2015). Men in red: A Reexamination of the red-attractiveness effect. Psychon Bull Review, 22:1142-1148. Doi: 10.3758/s13423-015- 0866-8	1		
Hoorens, Vera & Bruckm?ller, Susanne	2015	Less is more? Think again! A cognitive fluency-based more-less asymmetry in comparative communication.	1		
IJzerman, H. & Semin, G. R.	2009	IJzerman, H. & Semin, G. R. (2009). The thermometer of social relations: Mapping social proximity on temperature. Psychological Science, (20), 1214-1220.		1	
Isaac, M. S., & Brough, A. R.	in press, 2014	Isaac, M. S., & Brough, A. R. (in press, 2014). Judging a Part by the Size of Its Whole: The Category Size Bias in Probability Judgments. Journal of Consumer Research.	2	1	
Jaffard, M., Benraiss, A., Longcamp, M., Velay, J.-L., Boulinguez, P.	2007	Cueing method biases in visual detection studies	1		
Jostmann, N. B., Lakens, D. & Schubert, T. W.	2009	Weight as an Embodiment of Importance	1	3	1
Kidd, D.C. & Castano, E.	2013	Kidd & Castano (2013).		1	
Lev-Ari, S., & Keysar, B.	2010	Why don’t we believe non-native speakers? The influence of accent on credibility		1	
Lyle, K. B., Logan, J. M., & Roediger, H. L.	2008	Lyle, Logan, and Roediger (2008)			1
Maglio, S. J., & Kwok, C. Y.	2016	Maglio, S. J., & Kwok, C. Y. (2016). Anticipated ambiguity prolongs the present: Evidence of a return trip effect. Journal of Experimental Psychology: General, 145(11), 1415.	1		
Marc Hauser, Fiery Cushman, Liane Young, J. I. N. Kang-xing & John Mikhail	2007	Hauser et al (2007) A Dissociation Between Moral Judgments and Justifications			2
McCabe, D. P., & Castel, A. D.	2008	McCabe, D. P., & Castel, A. D. (2008). Seeing is believing: The effect of brain images on judgments of scientific reasoning. Cognition, 107(1), 343-352.		5	
McDonald, M. M., Asher, B. D., Kerr, N. L., & Navarrete, C. D.	2011	McDonald et al.: Fertility and Intergroup Bias in Racial and Minimal-Group Contexts: Evidence for Shared Architecture	1		
Moon, A., & Chen, S.	2014	Moon, A., & Chen, S. (2014). The power to control time: Power influences how much time (you think) you have. Journal of Experimental Social Psychology, 54, 97-101.	1		
Neumann, E., McCloskey, M. S., & Felio, A. C.	1999	Li, Lin (2015). Cross-language priming from ignored numbers and words: Extension to non-alphabetic languages. Unpublished doctoral dissertation, University of Canterbury, Christchurch, New Zealand.			1
Norton, M. I., Anik, L., Aknin, L. B., & Dunn, E. W.	2011	Norton, M. I., Anik, L., Aknin, L. B., & Dunn, E. W. (2011). Is life nasty, brutish, and short? Philosophies of life and well-being. Social Psychological and Personality Science, 2(6), 570-575.	1		
Payne, B., Hall, D. L., Cameron, C. D., & Bishara, A. J.	2010, Exp 1	Payne, B., Hall, D. L., Cameron, C. D., & Bishara, A. J. (2010). A process model of affect misattribution. Personality and Social Psychology Bulletin, 36, 1397-1408.		1	
Piff, P. K., Stancato, D. M., Cote, S., Mendoza-Denton, R., & Keltner, D.	2012	Higher social class predicts increased unethical behavior	3		
Quoidbach J., Gilbert D. T., Wilson T. D.	2013	Quoidbach J., Gilbert D. T., Wilson T. D. (2013). The end of history illusion. Science, 339(6115), 96-98			1
Risen, J., & Gilovich, T.	2008	Risen, J., & Gilovich, T. (2008). Why people are reluctant to tempt fate. Journal of Personality and Social Psychology, 95, 293-307.		1	
Schnall, S., Benton, J. and Harvey, S.	2008	With a clean conscience: Cleanliness reduces the severity of moral judgments	2	1	
Shah, A. K. & Alter, A. L.	in press, 2014	Shah, A. K. & Alter, A. L. (in press, 2014). Consuming experiential categories. Journal of Consumer Research.	1		
Sharma, E., & Morwitz, V. G.	2016	Saving the masses: The impact of perceived efficacy on charitable giving to single vs. multiple beneficiaries		1	
Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N.	2012, Study 1	Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141, 619-624.		3	
Thomas, R. C., & Jacoby, L. L.	2013	Thomas, R. C., & Jacoby, L. L. (2013). Diminishing adult egocentrism in estimating what others know. Journal of Experimental Psychology: Learning, Memory, and Cognition, 39 , 473-486.	1		
Todd, A.R., Thiem, K.C., & Neel, R.	2016	Todd, A.R., Thiem, K.C., & Neel, R. (2016). Does seeing faces of young black boys facilitate the identification of threatening stimuli? Psychological Science, 27, 384-393. Doi: 10.1177/0956797615624492		1	
Vess, M	2012, Study 1	Vess, M (2012). Warm Thoughts: Attachment Anxiety and Sensitivity to Temperature Cues. Psychological Science, 23, 472-474.		2	
Vohs, K. D., Mead, N. L., and Goode, M. R.	2006	The psychological consequences of money.		2	
von Hippel, W., & Gonsalkorale, K.	2005	That is Bloody Revolting! Inhibitory Control of Thoughts Better Left Unsaid			1
Vul, E., & Rich, A. N.	2010	Independent Sampling of Features	1		
Wadhwa, M., & Zhang, K.	2015	This Number Just Feels Right: The Impact of Roundedness of Price Numbers on Product Evaluations.		1	
Wells, G. L., & Gavanski, I.	1989	Well & Gavanski (1989). Mental simulation of causality.		1	
